date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:30:17	8946/8946	---M-Z	200	added ('OK')	text/html	date:Sat,%2031%20Aug%202019%2007:30:15%20GMT	https://bootstrapmade.com/demo/themes/Day/contact.html	C:/Users/Jarin/Desktop/websitedemo/bootstrapmade.com/demo/themes/Day/contact.html	(from https://bootstrapmade.com/demo/themes/Day/index.html)
13:30:18	15642/15642	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Jun%202019%2018:24:55%20GMT	https://bootstrapmade.com/demo/themes/Day/img/8.jpg	C:/Users/Jarin/Desktop/websitedemo/bootstrapmade.com/demo/themes/Day/img/8.jpg	(from https://bootstrapmade.com/demo/themes/Day/index.html)
13:30:19	30081/30081	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Jun%202019%2018:24:55%20GMT	https://bootstrapmade.com/demo/themes/Day/img/9.jpg	C:/Users/Jarin/Desktop/websitedemo/bootstrapmade.com/demo/themes/Day/img/9.jpg	(from https://bootstrapmade.com/demo/themes/Day/index.html)
13:30:19	223671/223671	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Jun%202019%2018:24:55%20GMT	https://bootstrapmade.com/demo/themes/Day/img/slide.jpg	C:/Users/Jarin/Desktop/websitedemo/bootstrapmade.com/demo/themes/Day/img/slide.jpg	(from https://bootstrapmade.com/demo/themes/Day/index.html)
13:30:21	18111/18111	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Jun%202019%2018:24:55%20GMT	https://bootstrapmade.com/demo/themes/Day/img/10.jpg	C:/Users/Jarin/Desktop/websitedemo/bootstrapmade.com/demo/themes/Day/img/10.jpg	(from https://bootstrapmade.com/demo/themes/Day/index.html)
13:30:21	30010/30010	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Jun%202019%2018:24:55%20GMT	https://bootstrapmade.com/demo/themes/Day/img/12.jpg	C:/Users/Jarin/Desktop/websitedemo/bootstrapmade.com/demo/themes/Day/img/12.jpg	(from https://bootstrapmade.com/demo/themes/Day/index.html)
13:30:21	39942/39942	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Jun%202019%2018:24:55%20GMT	https://bootstrapmade.com/demo/themes/Day/img/11.jpg	C:/Users/Jarin/Desktop/websitedemo/bootstrapmade.com/demo/themes/Day/img/11.jpg	(from https://bootstrapmade.com/demo/themes/Day/index.html)
13:30:23	15741/15741	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Jun%202019%2018:24:55%20GMT	https://bootstrapmade.com/demo/themes/Day/img/gallery1.png	C:/Users/Jarin/Desktop/websitedemo/bootstrapmade.com/demo/themes/Day/img/gallery1.png	(from https://bootstrapmade.com/demo/themes/Day/index.html)
13:30:23	36850/36850	---M--	200	added ('OK')	image/jpeg	date:Thu,%2006%20Jun%202019%2018:24:55%20GMT	https://bootstrapmade.com/demo/themes/Day/img/13.jpg	C:/Users/Jarin/Desktop/websitedemo/bootstrapmade.com/demo/themes/Day/img/13.jpg	(from https://bootstrapmade.com/demo/themes/Day/index.html)
13:30:24	16958/16958	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Jun%202019%2018:24:55%20GMT	https://bootstrapmade.com/demo/themes/Day/img/gallery2.png	C:/Users/Jarin/Desktop/websitedemo/bootstrapmade.com/demo/themes/Day/img/gallery2.png	(from https://bootstrapmade.com/demo/themes/Day/index.html)
13:30:26	18189/18189	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Jun%202019%2018:24:55%20GMT	https://bootstrapmade.com/demo/themes/Day/img/gallery3.png	C:/Users/Jarin/Desktop/websitedemo/bootstrapmade.com/demo/themes/Day/img/gallery3.png	(from https://bootstrapmade.com/demo/themes/Day/index.html)
